id,item_id,topics,strong_topic,all_topics
145487,145472,"[0.0023265  0.00232678 0.00232639 0.0023268  0.9790619  0.00232646
 0.00232625 0.0023263  0.00232615 0.00232648]",0.004187621539999996,0.17581237845999997
141182,141167,"[0.00232673 0.9790596  0.00232645 0.00232689 0.00232688 0.00232663
 0.00232659 0.00232671 0.00232643 0.00232711]",0.004188082279999996,0.17581191772
125961,125942,"[0.00232678 0.00232743 0.00232727 0.00232676 0.9790574  0.00232703
 0.00232651 0.0023276  0.00232651 0.00232677]",0.004188526320000003,0.17581147367999997
128038,128021,"[0.00238223 0.97856355 0.00238166 0.00238205 0.00238236 0.0023819
 0.0023815  0.0023816  0.0023815  0.00238168]",0.004287293590000005,0.17571270640999997
126823,126803,"[0.00238252 0.00238312 0.0023825  0.00238272 0.9785562  0.0023826
 0.00238235 0.00238293 0.00238235 0.00238272]",0.00428876035,0.17571123965
140724,140705,"[0.00238356 0.00238327 0.00238274 0.978553   0.00238305 0.00238297
 0.00238256 0.00238296 0.00238255 0.00238336]",0.004289401689999999,0.17571059830999997
133940,133922,"[0.00244009 0.00244057 0.00243981 0.00244026 0.97803944 0.00243998
 0.00243974 0.00244006 0.00243974 0.00244031]",0.004392111340000002,0.17560788866
142067,142049,"[0.0024403  0.9780376  0.00244007 0.00244059 0.00244052 0.00244046
 0.0024398  0.00244061 0.0024398  0.00244021]",0.004392474570000004,0.17560752542999997
138489,138479,"[0.00244066 0.00244096 0.00244104 0.00244085 0.9780345  0.00244051
 0.00244018 0.00244078 0.00244018 0.00244038]",0.004393104129999997,0.17560689587
136414,136400,"[0.00244124 0.00244121 0.0024414  0.00244145 0.9780297  0.00244119
 0.00244071 0.0024411  0.00244113 0.00244083]",0.0043940560399999985,0.17560594396
140922,140915,"[0.00244161 0.00244181 0.00244126 0.00244161 0.9780273  0.00244155
 0.00244107 0.00244123 0.00244107 0.0024415 ]",0.004394540199999995,0.17560545979999997
139847,139844,"[0.00250233 0.9774837  0.00250152 0.00250202 0.00250215 0.00250193
 0.00250141 0.00250156 0.00250139 0.00250196]",0.004503258390000004,0.17549674161
143368,143351,"[0.00256453 0.00256532 0.00256466 0.00256472 0.9769181  0.00256478
 0.00256434 0.00256478 0.00256434 0.00256441]",0.004616377809999998,0.17538362218999998
140716,140705,"[0.00256695 0.00256626 0.00256603 0.97690403 0.00256656 0.00256628
 0.00256601 0.00256614 0.00256577 0.00256597]",0.004619193169999996,0.17538080683
139481,139466,"[0.00256696 0.00256729 0.00256695 0.00256708 0.97689855 0.0025671
 0.00256635 0.00256664 0.00256635 0.0025667 ]",0.004620286259999997,0.17537971374
137048,137030,"[0.00263267 0.00263342 0.00263224 0.0026332  0.97630614 0.00263249
 0.00263218 0.00263229 0.00263218 0.00263316]",0.004738767539999995,0.17526123245999997
138885,138878,"[0.00263357 0.00263367 0.00263329 0.00263394 0.97629964 0.00263357
 0.00263296 0.00263317 0.00263296 0.00263324]",0.004740072529999997,0.17525992747
145815,145808,"[0.00263344 0.0026337  0.00263426 0.00263365 0.9762981  0.00263381
 0.00263308 0.00263349 0.00263308 0.00263342]",0.004740383640000005,0.17525961635999998
139156,139151,"[0.00263344 0.00263389 0.00263382 0.9762981  0.00263368 0.00263327
 0.00263306 0.00263379 0.002633   0.00263401]",0.004740385410000004,0.17525961459
126532,126530,"[0.00263459 0.9762901  0.00263423 0.00263455 0.00263481 0.00263499
 0.00263376 0.00263502 0.00263376 0.00263423]",0.004741983359999995,0.17525801664000001
139423,139403,"[0.00270359 0.0027041  0.00270316 0.00270371 0.9756692  0.0027035
 0.00270303 0.00270318 0.00270303 0.00270352]",0.004866161299999998,0.1751338387
142392,142385,"[0.00270362 0.97566456 0.00270337 0.00270416 0.00270398 0.00270424
 0.00270335 0.00270438 0.00270335 0.00270504]",0.004867093309999998,0.17513290669
126543,126530,"[0.00270439 0.00270468 0.00270393 0.00270451 0.9756628  0.00270425
 0.00270376 0.00270394 0.00270376 0.00270397]",0.004867439489999995,0.17513256050999998
130398,130394,"[0.00277814 0.9749963  0.00277798 0.00277835 0.00277901 0.00277817
 0.0027779  0.002778   0.0027779  0.00277821]",0.005000736409999996,0.17499926358999998
140941,140936,"[0.00277894 0.974993   0.00277825 0.00277891 0.00277896 0.00277871
 0.00277811 0.00277844 0.00277812 0.00277853]",0.0050013976299999995,0.17499860236999998
132905,132893,"[0.00277955 0.9749839  0.0027791  0.00277982 0.00277999 0.00277953
 0.00277897 0.0027794  0.00277897 0.00278078]",0.005003220559999998,0.17499677943999997
